,Issue #,Framework,same code,same data,DL Stage,Impacts,General Code Error Type,DL Specific Error Type,Manifestation
0,48.0,keras,yes,not mentioned,training,crash,assignment,nan,traditional
4,332.0,keras,not mentioned,not mentioned,training,crash,external,api – dl libraries (tensorflow) and gpu usage bug,traditional
6,354.0,keras,yes,not mentioned,evaluation,bad performance,optimization,other (training bug eval),evolutionary
7,72.0,keras,not mentioned,no,nan,bad performance,timing,gpu usage bug,evolutionary
8,546.0,keras,assume yes,not mentioned,training,crash,internal,other,traditional
10,480.0,keras,not mentioned,not mentioned,evaluation,crash,assignment/initialization,nan,traditional
13,30.0,keras,yes,no,training,crash,algorithm/method (assumed),training process,traditional
16,47.0,keras,not mentioned,no,evaluation ,bad performance,optimization,nan,evolutionary
17,544.0,keras,not mentioned,not mentioned,nan,crash,initialization,nan,traditional
29,157.0,pytorch,yes,no,training,crash,algorithm/method,training process,traditional
30,45.0,pytorch,not mentioned,same data,training,bad performance,optimization,nan,evolutionary
31,502.0,tensorflow,yes,not mentioned,training,crash,other(api),api bug,reproducibility
32,58.0,tensorflow,yes,no,training,bad performance (low accuracy),algorithm,model weights,evolutionary
