,URL,Repo owner,Repo name,Issue #,Repo type,Research Prototype,Repo creation time,Issue creation time,Time Slot/d,Label,Framework,Same Code?,Same Data?,Impacts,Part of Implementation,Project Type,Reporter,Defect types,Root Causes,Manifestation
0,https://github.com/chenyuntc/simple-faster-rcnn-pytorch/issues/42,chenyuntc,simple-faster-rcnn-pytorch,42,Solo Repository,No,2017-12-09T13:13:54Z,2018-05-07T14:29:50Z,149.0,,pytorch,yes,Not mentioned,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
1,https://github.com/chenyuntc/simple-faster-rcnn-pytorch/issues/42,chenyuntc,simple-faster-rcnn-pytorch,42,Solo Repository,No,2017-12-09T13:13:54Z,2018-05-07T14:29:50Z,149.0,,pytorch,yes,Not mentioned,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
2,https://github.com/Duankaiwen/CenterNet/issues/36,Duankaiwen,CenterNet,36,Solo Repository,Yes,2019-04-16T16:18:23Z,2019-05-17T01:42:36Z,30.0,,Pytorch,Yes,Yes,Low frequency type,Data pipeline,"User ""fork""",Adaptor,Assignment/initialization,Corrupt Data,Basic defects
3,https://github.com/Duankaiwen/CenterNet/issues/44,Duankaiwen,CenterNet,44,Solo Repository,Yes,2019-04-16T16:18:23Z,2019-05-29T12:51:26Z,42.0,,Pytorch,Yes,Yes,Crash,Data pipeline,"User ""fork""",Adaptor,Assignment/initialization,Corrupt Data,Basic defects
4,https://github.com/endernewton/tf-faster-rcnn/issues/107,endernewton,tf-faster-rcnn,107,Solo Repository,No,2017-01-23T19:51:32Z,2017-05-26T06:42:26Z,122.0,,Tensorflow,Yes,No,Numerical Instability,Training,"User ""fork""",Adaptor,Algorithm/method,Training configurations,Evolutionary defects
5,https://github.com/endernewton/tf-faster-rcnn/issues/126,endernewton,tf-faster-rcnn,126,Solo Repository,No,2017-01-23T19:51:32Z,2017-06-09T14:43:50Z,136.0,,Tensorflow,Yes,No,Bad Performance (lower accuracy),Data pipeline,"User ""fork""",Adaptor,Assignment/initialization,Data preprocessing bugs,Evolutionary defects
6,https://github.com/endernewton/tf-faster-rcnn/issues/134,endernewton,tf-faster-rcnn,134,Solo Repository,No,2017-01-23T19:51:32Z,2017-06-14T12:12:30Z,141.0,,Tensorflow,Yes,Yes,Crash,Environment,Major replication,Re-user,External interface,API defects,Evolutionary defects
7,https://github.com/endernewton/tf-faster-rcnn/issues/135,endernewton,tf-faster-rcnn,135,Solo Repository,No,2017-01-23T19:51:32Z,2017-06-15T06:27:15Z,142.0,,Tensorflow,Yes,No,Crash,Training,"User ""fork""",Adaptor,Assignment/initialization,Hyperparameters,Basic defects
8,https://github.com/endernewton/tf-faster-rcnn/issues/148,endernewton,tf-faster-rcnn,148,Solo Repository,No,2017-01-23T19:51:32Z,2017-07-04T10:31:35Z,161.0,,Tensorflow,Yes,Yes,Incorrect Functionality,Environment,Major replication,Re-user,Non-functional defects,Insufficient/incorrect documentation,Basic defects
9,https://github.com/endernewton/tf-faster-rcnn/issues/160,endernewton,tf-faster-rcnn,160,Solo Repository,No,2017-01-23T19:51:32Z,2017-07-17T02:43:38Z,174.0,,Tensorflow,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,Internal interface,Low frequency type,Basic defects
10,https://github.com/endernewton/tf-faster-rcnn/issues/171,endernewton,tf-faster-rcnn,171,Solo Repository,No,2017-01-23T19:51:32Z,2017-07-27T13:13:18Z,184.0,,Tensorflow,Yes,Yes,Crash,Environment,"User ""fork""",Re-user,External interface,API defects,Basic defects
11,https://github.com/endernewton/tf-faster-rcnn/issues/183,endernewton,tf-faster-rcnn,183,Solo Repository,No,2017-01-23T19:51:32Z,2017-08-10T02:15:54Z,198.0,,Tensorflow,Yes,Yes,Bad Performance (lower accuracy),Training,Major replication,Re-user,Timing/optimization,Hyperparameters,Reproducibility defects
12,https://github.com/endernewton/tf-faster-rcnn/issues/198,endernewton,tf-faster-rcnn,198,Solo Repository,No,2017-01-23T19:51:32Z,2017-08-23T09:12:39Z,211.0,,Tensorflow,Yes,Yes,Crash,Environment,Major replication,Re-user,External interface,GPU Usage Bug,Evolutionary defects
13,https://github.com/endernewton/tf-faster-rcnn/issues/377,endernewton,tf-faster-rcnn,377,Solo Repository,No,2017-01-23T19:51:32Z,2018-08-07T11:16:12Z,560.0,,Tensorflow,No,Not mentioned,Crash,Modeling,"User ""fork""",Enhancer,Assignment/initialization,Layer properties,Basic defects
