URL,Repo owner,Repo name,Issue #,Repo type,Research Prototype,Repo creation time,Issue creation time,Time Slot/d,Label,,
https://github.com/yhenon/pytorch-retinanet/issues/63,yhenon,pytorch-retinanet,63,Solo Repository,No,2018-04-25T00:15:22Z,2019-02-05T06:17:59Z,286,N/A,,
https://github.com/yhenon/pytorch-retinanet/issues/2,yhenon,pytorch-retinanet,2,Solo Repository,No,2018-04-25T00:15:22Z,2018-07-03T07:32:23Z,69,N/A,,
https://github.com/xingyizhou/CenterNet/issues/7,xingyizhou,CenterNet,7,Solo Repository,Yes,2019-04-16T18:39:13Z,2019-04-18T12:05:03Z,1,good first issue,,
https://github.com/xingyizhou/CenterNet/issues/453,xingyizhou,CenterNet,453,Solo Repository,Yes,2019-04-16T18:39:13Z,2019-11-07T02:59:38Z,204,good first issue,,
https://github.com/xingyizhou/CenterNet/issues/37,xingyizhou,CenterNet,37,Solo Repository,Yes,2019-04-16T18:39:13Z,2019-04-28T03:32:45Z,11,N/A,,
https://github.com/xingyizhou/CenterNet/issues/241,xingyizhou,CenterNet,241,Solo Repository,Yes,2019-04-16T18:39:13Z,2019-07-31T10:32:48Z,105,N/A,,
https://github.com/xingyizhou/CenterNet/issues/193,xingyizhou,CenterNet,193,Solo Repository,Yes,2019-04-16T18:39:13Z,2019-07-11T13:51:47Z,85,N/A,,
https://github.com/ultralytics/yolov5/issues/357,ultralytics,yolov5,357,Solo Repository,Yes,2020-05-18T03:45:11Z,2020-07-10T23:50:34Z,53,N/A,,
https://github.com/ultralytics/yolov3/issues/698,ultralytics,yolov3,698,Solo Repository,No,2018-08-26T08:57:20Z,2019-12-09T12:56:10Z,470,N/A,,
https://github.com/ultralytics/yolov3/issues/392,ultralytics,yolov3,392,Solo Repository,No,2018-08-26T08:57:20Z,2019-07-25T15:52:48Z,333,N/A,,
https://github.com/ultralytics/yolov3/issues/192,ultralytics,yolov3,192,Solo Repository,No,2018-08-26T08:57:20Z,2019-04-06T12:26:19Z,223,N/A,,
https://github.com/ShaoqingRen/faster_rcnn/issues/47,ShaoqingRen,faster_rcnn,47,Solo Repository,Yes,2015-08-06T06:38:25Z,2015-12-10T15:31:05Z,126,N/A,,
